time_ms,mode,head,roll,pitch,lvol,rvol,bus_v,current_ma,audio_rail,fault
6365,ACTIVE,CENTER,,,,,4.964,,ON,0x00
6594,ACTIVE,CENTER,,,,,4.964,,ON,0x00
6807,ACTIVE,CENTER,,,,,4.960,,ON,0x00
7037,ACTIVE,CENTER,,,,,4.964,,ON,0x00
7266,ACTIVE,CENTER,,,,,4.964,,ON,0x00
7495,ACTIVE,CENTER,,,,,4.964,,ON,0x00
7725,ACTIVE,CENTER,,,,,4.960,,ON,0x00
7954,ACTIVE,CENTER,,,,,4.964,,ON,0x00
8183,ACTIVE,CENTER,,,,,4.964,,ON,0x00
8413,ACTIVE,CENTER,,,,,4.964,,ON,0x00
8642,ACTIVE,CENTER,,,,,4.964,,ON,0x00
8871,ACTIVE,CENTER,,,,,4.964,,ON,0x00
9101,ACTIVE,CENTER,,,,,4.964,,ON,0x00
9330,ACTIVE,CENTER,,,,,4.964,,ON,0x00
9559,ACTIVE,CENTER,,,,,4.964,,ON,0x00
9775,ACTIVE,CENTER,,,,,4.964,,ON,0x00
10004,ACTIVE,CENTER,,,,,4.960,,ON,0x00
10233,ACTIVE,CENTER,,,,,4.964,,ON,0x00
10462,ACTIVE,CENTER,,,,,4.964,,ON,0x00
10692,ACTIVE,CENTER,,,,,4.964,,ON,0x00
10921,ACTIVE,CENTER,,,,,4.960,,ON,0x00
11150,ACTIVE,CENTER,,,,,4.964,,ON,0x00
11379,ACTIVE,CENTER,,,,,4.960,,ON,0x00
11608,ACTIVE,CENTER,,,,,4.964,,ON,0x00
11837,ACTIVE,CENTER,,,,,4.964,,ON,0x00
12066,ACTIVE,CENTER,,,,,4.964,,ON,0x00
12295,ACTIVE,CENTER,,,,,4.964,,ON,0x00
12524,ACTIVE,CENTER,,,,,4.964,,ON,0x00
12738,ACTIVE,CENTER,,,,,4.964,,ON,0x00
12967,ACTIVE,CENTER,,,,,4.964,,ON,0x00
13196,ACTIVE,CENTER,,,,,4.968,,ON,0x00
13425,ACTIVE,CENTER,,,,,4.964,,ON,0x00
13654,ACTIVE,CENTER,,,,,4.964,,ON,0x00
13883,ACTIVE,CENTER,,,,,4.968,,ON,0x00
14112,ACTIVE,CENTER,,,,,4.964,,ON,0x00
14341,ACTIVE,CENTER,,,,,4.964,,ON,0x00
14570,ACTIVE,CENTER,,,,,4.964,,ON,0x00
14800,ACTIVE,CENTER,,,,,4.964,,ON,0x00
15029,ACTIVE,CENTER,,,,,4.964,,ON,0x00
15258,ACTIVE,CENTER,,,,,4.964,,ON,0x00
15474,ACTIVE,CENTER,,,,,4.964,,ON,0x00
15703,ACTIVE,CENTER,,,,,4.964,,ON,0x00
15932,ACTIVE,CENTER,,,,,4.964,,ON,0x00
16161,ACTIVE,CENTER,,,,,4.964,,ON,0x00
16390,ACTIVE,CENTER,,,,,4.960,,ON,0x00
16619,ACTIVE,CENTER,,,,,4.964,,ON,0x00
16848,ACTIVE,CENTER,,,,,4.964,,ON,0x00
17077,ACTIVE,CENTER,,,,,4.964,,ON,0x00
17306,ACTIVE,CENTER,,,,,4.964,,ON,0x00
17535,ACTIVE,CENTER,,,,,4.964,,ON,0x00
17765,ACTIVE,CENTER,,,,,4.964,,ON,0x00
17994,ACTIVE,CENTER,,,,,4.964,,ON,0x00
18223,ACTIVE,CENTER,,,,,4.964,,ON,0x00
18436,ACTIVE,CENTER,,,,,4.960,,ON,0x00
18665,ACTIVE,CENTER,,,,,4.964,,ON,0x00
18894,ACTIVE,CENTER,,,,,4.964,,ON,0x00
19123,ACTIVE,CENTER,,,,,4.964,,ON,0x00
19352,ACTIVE,CENTER,,,,,4.964,,ON,0x00
19582,ACTIVE,CENTER,,,,,4.964,,ON,0x00
19811,ACTIVE,CENTER,,,,,4.968,,ON,0x00
20040,ACTIVE,CENTER,,,,,4.968,,ON,0x00
20269,ACTIVE,CENTER,,,,,4.968,,ON,0x00
